player,pos,age,tm,g,gs,mp,pts,orb,drb,trb,ast,stl,blk,tov,pf,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,efg,ts,ftr,3par,fg+,2p+,3p+,efg+,ft+,ts+,ftr+,3par+,on-off,ortg,drtg,per,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,team_seed,win_percentage,year
Grayson Allen,SG,28.0,PHO,73.0,72.0,33.5,13.4,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,4.5,9.0,0.495,2.7,5.9,0.456,1.8,3.1,0.569,1.7,2.0,0.874,0.645,0.675,0.217,0.659,104.0,104.0,125.0,118.0,111.0,116.0,89.0,167.0,4.3,131.0,119.0,13.6,2.5,11.1,7.1,12.2,1.4,1.6,11.3,14.5,4.3,2.2,6.5,0.127,0.9,0.2,1.1,1.9,7,0.588,2024
Cameron Johnson,PF,27.0,BRK,58.0,47.0,27.6,13.4,0.9,3.4,4.3,2.4,0.8,0.3,1.0,1.8,4.8,10.7,0.446,2.4,6.1,0.391,2.4,4.6,0.519,1.5,1.9,0.789,0.519,0.575,0.438,0.476,94.0,107.0,82.0,95.0,97.0,99.0,179.0,121.0,-3.6,119.0,119.0,14.5,3.9,14.9,9.2,12.9,1.5,0.8,7.9,19.8,1.8,1.4,3.3,0.098,0.9,-0.5,0.5,1.0,11,0.4,2024
Corey Kispert,SF,24.0,WAS,78.0,20.0,25.6,13.3,0.4,2.4,2.8,1.8,0.5,0.2,1.2,1.8,4.8,9.9,0.487,2.3,5.9,0.384,2.5,3.9,0.644,1.4,2.0,0.725,0.501,0.523,0.129,0.374,91.0,87.0,99.0,92.0,102.0,90.0,53.0,95.0,-2.9,115.0,125.0,12.7,1.6,11.1,6.3,10.1,1.0,0.6,10.2,19.9,1.3,0.5,1.8,0.042,-0.3,-1.9,-2.2,-0.1,14,0.188,2024
Andrew Wiggins,SF,28.0,GSW,69.0,57.0,27.0,13.1,1.5,3.0,4.5,1.7,0.6,0.6,1.2,2.1,5.0,10.9,0.453,1.3,3.6,0.363,3.7,7.4,0.496,1.9,2.5,0.746,0.499,0.55,0.279,0.33,93.0,88.0,98.0,91.0,109.0,95.0,114.0,84.0,-5.8,113.0,121.0,12.7,6.9,13.3,10.1,8.6,1.1,2.0,9.2,21.0,1.1,1.3,2.4,0.062,-1.3,-1.2,-2.5,-0.2,8,0.563,2024
P.J. Washington,PF,25.0,CHO,72.0,44.0,30.6,12.9,1.2,4.5,5.7,1.9,1.0,0.8,1.3,2.3,4.9,11.2,0.436,1.8,5.7,0.32,3.0,5.5,0.557,1.4,2.0,0.683,0.479,0.516,0.225,0.192,95.0,89.0,83.0,88.0,99.0,89.0,92.0,49.0,2.5,107.0,119.0,12.2,4.5,17.7,11.0,9.2,1.6,2.4,10.0,19.2,-0.3,2.0,1.7,0.037,-1.8,-0.4,-2.2,-0.1,13,0.25,2024
Keyonte George,PG,20.0,UTA,73.0,42.0,27.0,12.9,0.2,2.7,2.9,4.5,0.5,0.1,2.5,1.2,4.2,10.8,0.388,1.9,5.8,0.328,2.3,5.0,0.459,2.6,3.0,0.854,0.432,0.469,0.176,0.608,74.0,89.0,72.0,79.0,106.0,81.0,72.0,154.0,-8.8,106.0,126.0,10.4,0.9,11.6,6.3,23.2,0.9,0.3,17.1,22.8,-0.6,0.2,-0.5,-0.012,-1.7,-2.9,-4.5,-1.2,12,0.375,2024
Duncan Robinson,SF,29.0,MIA,68.0,36.0,28.0,12.9,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,4.5,9.9,0.45,2.8,7.0,0.395,1.7,3.0,0.579,1.2,1.3,0.889,0.539,0.566,0.143,0.551,91.0,89.0,107.0,99.0,110.0,98.0,58.0,140.0,-3.1,116.0,118.0,12.2,1.0,10.4,5.6,15.2,1.2,0.8,11.7,19.2,1.4,2.0,3.4,0.085,-0.6,-0.4,-1.0,0.5,8,0.55,2024
Dillon Brooks,SF,28.0,HOU,71.0,71.0,30.9,12.8,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,4.6,10.7,0.429,1.9,5.1,0.362,2.7,5.5,0.491,1.7,2.1,0.844,0.506,0.526,0.1,0.427,91.0,91.0,95.0,93.0,111.0,91.0,41.0,108.0,-2.4,111.0,119.0,9.5,2.7,10.1,6.3,7.6,1.4,0.4,9.6,17.8,0.4,2.0,2.5,0.055,-3.3,-0.2,-3.5,-0.8,11,0.488,2024
Mark Williams,C,22.0,CHO,19.0,19.0,26.7,12.7,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,5.2,7.9,0.649,0.0,0.0,0.0,5.2,7.9,0.649,2.4,3.4,0.719,0.551,0.56,0.102,0.458,104.0,126.0,71.0,101.0,85.0,96.0,42.0,116.0,11.3,138.0,117.0,22.3,17.4,26.1,21.6,6.8,1.6,3.7,8.7,17.2,1.5,0.5,2.0,0.193,1.5,-0.8,0.7,0.3,13,0.25,2024
Jalen Suggs,SG,22.0,ORL,73.0,73.0,26.9,12.6,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,4.5,9.6,0.469,2.1,5.2,0.398,2.4,4.4,0.553,1.5,2.0,0.764,0.535,0.574,0.235,0.423,97.0,98.0,98.0,98.0,108.0,99.0,96.0,107.0,-1.3,113.0,112.0,14.1,3.0,11.3,7.1,15.1,2.7,2.2,14.5,20.1,1.1,3.2,4.3,0.106,-0.6,1.6,1.0,1.5,6,0.575,2024
Jrue Holiday,PG,33.0,BOS,69.0,69.0,32.8,12.5,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,4.8,10.0,0.48,2.0,4.7,0.429,2.8,5.3,0.526,0.9,1.0,0.833,0.496,0.52,0.157,0.48,86.0,82.0,100.0,91.0,98.0,90.0,64.0,121.0,-3.6,122.0,115.0,14.4,4.5,14.0,9.5,19.4,1.4,2.1,14.7,16.4,3.0,3.1,6.1,0.13,1.0,1.1,2.1,2.4,1,0.775,2024
Brook Lopez,C,35.0,MIL,77.0,77.0,30.6,12.5,1.5,3.8,5.2,1.6,0.6,2.4,1.0,2.4,4.6,9.5,0.485,1.9,5.1,0.368,2.7,4.4,0.621,1.4,1.7,0.815,0.471,0.509,0.353,0.294,87.0,76.0,109.0,86.0,85.0,88.0,144.0,74.0,6.3,122.0,117.0,14.7,5.9,14.5,10.3,7.2,0.9,6.7,9.0,16.0,2.8,2.7,5.5,0.112,0.3,0.9,1.1,1.9,2,0.613,2024
Jonas Valančiūnas,C,31.0,NOP,80.0,80.0,23.8,12.4,2.3,6.6,8.9,2.1,0.4,0.9,1.3,2.7,5.0,8.8,0.562,0.5,1.5,0.314,4.5,7.4,0.611,2.0,2.5,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,125.0,111.0,20.0,11.6,32.5,22.1,13.3,0.8,3.6,11.8,20.8,3.7,3.3,7.0,0.176,0.9,0.5,1.5,1.7,6,0.6,2024
Josh Giddey,SG,21.0,OKC,79.0,79.0,25.2,12.4,1.4,5.1,6.4,4.8,0.6,0.6,2.1,1.4,5.1,10.6,0.476,1.0,3.0,0.339,4.0,7.6,0.53,1.3,1.6,0.805,0.167,0.291,0.333,0.333,35.0,46.0,0.0,30.0,128.0,50.0,136.0,84.0,1.2,112.0,114.0,16.7,7.0,23.5,15.6,26.4,1.3,2.1,15.6,23.3,1.1,2.8,3.8,0.093,1.0,0.4,1.4,1.7,3,0.688,2024
Ayo Dosunmu,SG,24.0,CHI,76.0,37.0,29.1,12.2,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,4.7,9.5,0.501,1.6,3.9,0.403,3.2,5.6,0.568,1.1,1.4,0.81,0.508,0.585,0.454,0.166,101.0,94.0,90.0,93.0,109.0,101.0,185.0,42.0,-3.8,119.0,121.0,13.4,2.9,9.1,5.9,15.7,1.6,1.7,11.9,17.4,2.3,1.5,3.9,0.084,-0.6,-0.2,-0.9,0.6,9,0.475,2024
Cam Whitmore,SF,19.0,HOU,45.0,1.0,18.2,12.2,0.9,2.8,3.8,0.5,0.6,0.4,1.0,1.3,4.4,9.7,0.456,1.6,4.6,0.361,2.8,5.1,0.541,1.7,2.4,0.688,0.25,0.25,0.0,0.25,53.0,61.0,0.0,46.0,0.0,43.0,0.0,63.0,-5.2,110.0,115.0,16.8,5.7,18.2,11.9,4.8,1.7,1.8,8.3,27.6,0.2,1.1,1.3,0.075,1.1,-1.0,0.1,0.4,11,0.488,2024
Aaron Nesmith,SF,24.0,IND,70.0,45.0,27.7,12.2,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.4,4.4,8.9,0.492,2.0,4.7,0.42,2.4,4.2,0.573,1.4,1.9,0.771,0.611,0.658,0.222,0.222,117.0,105.0,137.0,112.0,128.0,113.0,91.0,56.0,1.4,123.0,121.0,12.7,3.8,12.7,8.3,6.8,1.6,2.0,8.6,16.2,2.4,1.4,3.8,0.093,-0.3,-0.2,-0.5,0.7,5,0.575,2024
Max Strus,SF,27.0,CLE,68.0,68.0,32.1,12.2,0.9,3.9,4.8,3.9,0.9,0.4,1.6,2.5,4.4,10.4,0.421,2.4,6.9,0.348,2.0,3.5,0.563,1.1,1.4,0.798,0.518,0.555,0.198,0.411,93.0,91.0,99.0,95.0,111.0,96.0,81.0,104.0,6.5,113.0,116.0,11.6,3.5,14.4,9.1,16.6,1.5,1.2,12.7,17.5,0.9,2.6,3.5,0.077,-1.2,0.5,-0.7,0.7,4,0.588,2024
Harrison Barnes,PF,31.0,SAC,80.0,80.0,28.9,12.1,0.8,2.2,3.0,1.2,0.6,0.1,0.7,1.2,4.2,8.9,0.475,1.8,4.7,0.387,2.4,4.2,0.573,1.8,2.3,0.799,0.492,0.525,0.214,0.398,89.0,87.0,95.0,90.0,98.0,90.0,87.0,101.0,-9.2,123.0,121.0,11.8,3.3,9.5,6.3,5.4,1.1,0.4,6.7,15.9,2.7,1.4,4.2,0.087,-0.7,-1.3,-2.0,0.0,9,0.563,2024
Tyus Jones,PG,27.0,WAS,66.0,66.0,29.3,12.0,0.3,2.4,2.7,7.3,1.1,0.3,1.0,0.7,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.5,0.6,0.8,0.597,0.608,0.112,0.459,108.0,114.0,103.0,109.0,93.0,105.0,46.0,116.0,-6.2,127.0,124.0,16.4,1.2,9.7,5.4,34.8,1.8,0.8,8.8,16.5,3.6,0.7,4.4,0.108,1.5,-0.9,0.6,1.3,14,0.188,2024
Buddy Hield,SF-SG,31.0,IND,82.0,42.0,25.9,12.0,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2.0,4.4,10.1,0.437,2.6,6.8,0.384,1.8,3.4,0.543,0.6,0.7,0.875,0.214,0.214,0.0,0.571,30.0,0.0,68.0,39.0,0.0,37.0,0.0,145.0,-3.1,115.0,120.0,13.1,3.2,11.4,7.3,14.4,1.6,1.6,10.6,19.2,1.6,1.6,3.2,0.071,0.9,-0.6,0.2,1.2,5,0.575,2024
Scotty Pippen Jr.,PG,23.0,MEM,19.0,14.0,24.8,12.0,1.0,2.1,3.1,4.5,1.7,0.5,2.6,2.7,4.3,8.9,0.476,1.4,3.3,0.435,2.8,5.7,0.5,2.1,2.7,0.75,0.444,0.481,0.222,0.567,77.0,89.0,75.0,81.0,96.0,83.0,91.0,143.0,-2.3,110.0,115.0,15.5,4.6,10.5,7.4,29.0,3.4,2.0,20.3,22.2,0.1,0.6,0.8,0.076,-0.6,1.6,1.0,0.4,13,0.338,2024
Nic Claxton,C,24.0,BRK,69.0,69.0,29.9,12.0,2.7,7.2,9.9,2.1,0.7,2.1,1.3,2.4,5.2,8.2,0.632,0.0,0.1,0.2,5.2,8.2,0.636,1.6,2.8,0.557,0.487,0.488,0.02,0.643,80.0,86.0,91.0,89.0,73.0,84.0,8.0,163.0,-5.8,126.0,113.0,18.8,10.3,29.4,19.5,10.4,1.1,6.3,12.0,15.7,3.2,3.3,6.5,0.152,-0.2,1.6,1.4,1.8,11,0.4,2024
Jaime Jaquez Jr.,SF,22.0,MIA,73.0,20.0,28.1,11.7,1.1,2.7,3.8,2.5,1.0,0.2,1.5,2.2,4.5,9.2,0.49,0.9,2.7,0.325,3.6,6.5,0.557,1.8,2.2,0.805,0.559,0.572,0.356,0.0,118.0,103.0,0.0,102.0,73.0,99.0,145.0,0.0,1.5,112.0,116.0,12.5,4.9,12.0,8.4,13.3,1.8,0.8,12.8,18.7,0.9,2.5,3.4,0.079,-2.4,0.3,-2.1,-0.1,8,0.55,2024
Marvin Bagley III,C,24.0,DET,50.0,25.0,21.1,11.7,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,4.8,8.2,0.586,0.2,0.5,0.391,4.6,7.7,0.597,1.9,2.5,0.762,0.696,0.609,0.565,0.0,147.0,128.0,0.0,127.0,29.0,105.0,231.0,0.0,2.9,123.0,121.0,19.3,14.2,20.6,17.3,8.1,0.9,2.6,11.3,21.2,1.8,0.7,2.5,0.115,1.0,-1.4,-0.4,0.4,15,0.163,2024
Ivica Zubac,C,26.0,LAC,67.0,67.0,26.6,11.7,2.9,6.4,9.3,1.4,0.3,1.2,1.2,2.7,5.0,7.7,0.647,0.0,0.0,0.0,5.0,7.7,0.647,1.8,2.5,0.723,0.525,0.575,0.293,0.307,102.0,105.0,77.0,96.0,108.0,99.0,120.0,78.0,1.3,133.0,116.0,19.1,14.2,29.1,21.9,7.5,0.6,4.1,11.9,16.6,4.2,2.3,6.4,0.173,0.7,0.0,0.7,1.2,4,0.638,2024
Cole Anthony,PG,23.0,ORL,79.0,0.0,22.6,11.6,0.8,3.1,3.9,2.9,0.8,0.5,1.6,2.2,4.1,9.5,0.434,1.2,3.4,0.339,2.9,6.0,0.487,2.2,2.7,0.823,0.495,0.545,0.288,0.363,91.0,89.0,93.0,91.0,105.0,94.0,118.0,92.0,-0.3,111.0,113.0,14.6,4.3,17.2,10.7,19.8,1.7,1.9,12.8,23.8,0.6,2.8,3.3,0.089,-0.7,0.7,0.0,0.9,6,0.575,2024
Jeremy Sochan,PF,20.0,SAS,74.0,73.0,29.6,11.6,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,1.5,1.9,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,105.0,119.0,11.4,7.2,18.4,12.8,16.0,1.4,1.5,14.3,19.0,-0.8,1.9,1.0,0.023,-2.8,-0.6,-3.4,-0.8,15,0.25,2024
Clint Capela,C,29.0,ATL,72.0,72.0,25.8,11.4,4.6,6.0,10.6,1.2,0.6,1.5,1.0,2.3,4.8,8.5,0.569,0.0,0.0,0.0,4.8,8.5,0.57,1.8,2.8,0.632,0.411,0.417,0.095,0.452,75.0,84.0,65.0,75.0,64.0,72.0,39.0,115.0,2.0,129.0,117.0,20.5,20.3,28.6,24.3,6.7,1.1,5.1,9.4,17.5,4.0,2.0,6.0,0.154,1.0,-1.1,-0.1,0.9,10,0.45,2024
Mike Conley,PG,36.0,MIN,74.0,74.0,28.9,11.3,0.5,2.3,2.8,5.9,1.1,0.2,1.3,1.7,3.8,8.5,0.454,2.3,5.3,0.439,1.5,3.1,0.478,1.3,1.5,0.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,131.0,114.0,15.6,2.1,9.6,6.1,28.3,2.0,0.6,12.6,16.1,4.6,3.2,7.7,0.174,1.8,1.4,3.2,2.8,2,0.688,2024
De'Anthony Melton,SG,25.0,PHI,37.0,33.0,27.5,11.3,0.8,3.0,3.8,3.1,1.6,0.4,1.1,2.2,3.7,9.6,0.387,2.1,5.7,0.358,1.7,3.9,0.428,1.8,2.1,0.835,0.554,0.582,0.174,0.665,90.0,93.0,105.0,101.0,106.0,100.0,71.0,168.0,9.8,115.0,115.0,13.4,3.2,13.3,8.1,15.3,2.9,1.4,9.1,18.4,0.6,1.3,2.0,0.093,-0.7,1.1,0.4,0.6,7,0.563,2024
Brandon Clarke,PF,27.0,MEM,6.0,1.0,22.3,11.3,2.2,3.2,5.3,1.5,0.8,1.0,0.5,1.3,5.5,9.8,0.559,0.2,1.0,0.167,5.3,8.8,0.604,0.2,1.2,0.143,0.516,0.547,0.226,0.393,95.0,96.0,92.0,94.0,97.0,94.0,92.0,99.0,1.6,115.0,115.0,18.8,11.0,17.6,14.2,12.3,1.9,4.2,4.6,21.1,0.1,0.2,0.3,0.101,0.7,0.2,0.9,0.1,13,0.338,2024
Malik Beasley,SG,27.0,MIL,77.0,76.0,29.7,11.3,0.5,3.2,3.7,1.4,0.8,0.1,0.7,2.0,4.0,9.2,0.441,2.9,6.9,0.415,1.2,2.2,0.52,0.3,0.5,0.714,0.568,0.633,0.5,0.273,115.0,126.0,46.0,104.0,104.0,109.0,204.0,69.0,8.9,119.0,121.0,10.4,2.2,12.6,7.5,6.1,1.2,0.3,6.7,14.7,1.8,1.6,3.4,0.071,-1.0,-0.8,-1.8,0.1,2,0.613,2024
Wendell Carter Jr.,C,24.0,ORL,53.0,47.0,26.2,11.2,2.1,5.1,7.2,1.8,0.7,0.5,1.3,2.2,4.1,7.9,0.52,1.2,3.2,0.373,2.9,4.7,0.62,1.8,2.5,0.694,0.479,0.536,0.292,0.581,78.0,67.0,102.0,88.0,111.0,92.0,119.0,147.0,-1.0,123.0,113.0,15.8,9.8,24.4,17.0,10.1,1.3,1.9,12.5,17.3,1.9,2.2,4.1,0.143,0.4,0.4,0.8,1.0,6,0.575,2024
Russell Westbrook,PG,35.0,LAC,67.0,11.0,22.7,11.2,1.4,3.7,5.1,4.6,1.1,0.3,2.1,1.8,4.5,9.8,0.454,0.6,2.3,0.273,3.8,7.5,0.509,1.6,2.4,0.696,0.538,0.558,0.128,0.231,108.0,110.0,61.0,99.0,102.0,96.0,52.0,58.0,1.1,108.0,116.0,16.4,8.0,19.8,14.1,29.4,2.5,1.4,16.4,25.5,0.0,1.9,1.9,0.061,0.0,0.7,0.7,1.0,4,0.638,2024
Daniel Gafford,C-PF,25.0,WAS,73.0,65.0,24.7,11.1,2.7,5.0,7.7,1.6,0.9,2.1,1.0,3.1,4.7,6.5,0.725,0.0,0.0,0.0,4.7,6.5,0.725,1.6,2.4,0.674,0.511,0.541,0.231,0.531,89.0,93.0,94.0,94.0,93.0,93.0,94.0,134.0,3.2,141.0,114.0,21.6,12.5,23.9,18.2,9.0,1.7,7.1,11.4,14.8,5.0,2.5,7.6,0.201,0.8,1.9,2.7,2.2,14,0.188,2024
Eric Gordon,SG,35.0,PHO,67.0,24.0,28.0,11.1,0.2,1.6,1.8,2.0,1.0,0.4,1.1,1.2,4.1,9.1,0.445,2.2,5.9,0.382,1.8,3.3,0.559,0.8,1.0,0.797,0.521,0.551,0.306,0.444,97.0,110.0,77.0,95.0,87.0,95.0,125.0,113.0,1.2,114.0,120.0,10.9,1.1,6.4,3.9,9.9,1.7,1.4,10.2,16.6,0.9,1.5,2.4,0.062,-1.3,-0.5,-1.8,0.1,7,0.588,2024
Jakob Poeltl,C,28.0,TOR,50.0,50.0,26.4,11.1,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3.0,5.0,7.6,0.656,0.0,0.0,0.0,5.0,7.6,0.656,1.2,2.1,0.551,0.559,0.561,0.063,0.802,85.0,92.0,104.0,102.0,73.0,97.0,26.0,203.0,8.6,125.0,117.0,18.8,13.1,26.5,19.7,14.0,1.3,5.1,15.3,16.4,2.2,1.4,3.6,0.13,-0.3,1.0,0.7,0.9,12,0.313,2024
Zach Collins,C,26.0,SAS,67.0,28.0,22.2,11.1,1.7,3.6,5.3,2.8,0.5,0.8,1.9,3.0,4.3,8.9,0.482,0.8,2.6,0.313,3.5,6.3,0.552,1.7,2.3,0.742,0.6,0.68,0.4,0.0,127.0,110.0,0.0,110.0,128.0,117.0,163.0,0.0,-9.9,108.0,119.0,13.8,8.7,19.6,14.0,18.9,1.0,2.8,16.4,22.8,-0.1,1.4,1.3,0.04,-2.3,-0.1,-2.4,-0.1,15,0.25,2024
Jusuf Nurkić,C,29.0,PHO,74.0,74.0,27.4,11.0,3.0,8.1,11.1,3.9,1.0,1.0,2.3,3.4,4.2,8.4,0.508,0.3,1.2,0.247,3.9,7.1,0.552,2.2,3.5,0.637,0.481,0.494,0.115,0.346,89.0,86.0,91.0,88.0,85.0,85.0,47.0,88.0,12.4,114.0,110.0,17.4,13.9,33.8,24.4,19.8,1.8,3.3,18.9,19.4,1.5,3.8,5.3,0.125,-1.1,1.9,0.8,1.4,7,0.588,2024
Luguentz Dort,SF,24.0,OKC,77.0,77.0,28.7,11.0,1.0,2.7,3.6,1.4,0.9,0.6,1.0,2.9,3.7,8.4,0.439,2.0,5.0,0.395,1.7,3.4,0.506,1.6,2.0,0.824,0.553,0.541,0.158,0.421,111.0,150.0,34.0,101.0,43.0,93.0,64.0,107.0,1.8,118.0,118.0,11.0,4.3,11.0,7.8,6.2,1.5,2.0,9.4,15.6,1.8,2.3,4.1,0.089,-1.5,-0.3,-1.8,0.1,3,0.688,2024
Luke Kennard,SG,27.0,MEM,39.0,22.0,25.6,11.0,0.3,2.6,2.9,3.5,0.5,0.1,1.4,1.0,3.6,8.1,0.448,2.7,6.1,0.45,0.9,2.0,0.442,1.0,1.2,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,122.0,121.0,13.1,1.3,12.7,6.7,20.9,1.0,0.2,13.9,16.9,1.3,0.7,2.0,0.094,0.5,-0.9,-0.4,0.4,13,0.338,2024
Bruce Brown,SG-PG,27.0,IND,65.0,44.0,28.1,10.9,0.8,3.5,4.3,2.9,0.9,0.3,1.3,2.2,4.2,8.8,0.473,0.8,2.5,0.317,3.4,6.3,0.534,1.8,2.1,0.827,0.523,0.551,0.273,0.333,97.0,91.0,105.0,96.0,88.0,95.0,111.0,84.0,-4.3,114.0,122.0,11.6,3.5,15.2,9.3,13.2,1.6,0.8,11.6,16.7,0.9,1.1,2.0,0.053,-2.4,-1.0,-3.4,-0.6,5,0.575,2024
Herbert Jones,SF,25.0,NOP,74.0,74.0,30.4,10.9,1.0,2.6,3.5,2.6,1.4,0.8,1.2,2.9,3.8,7.6,0.499,1.5,3.5,0.414,2.4,4.1,0.572,1.8,2.1,0.87,0.573,0.608,0.186,0.372,105.0,101.0,112.0,105.0,115.0,105.0,76.0,94.0,3.5,125.0,115.0,13.1,3.9,9.8,6.9,11.4,2.3,2.7,12.6,14.1,2.9,3.1,6.0,0.128,-0.9,1.5,0.7,1.5,6,0.6,2024
Isaiah Stewart,PF,22.0,DET,46.0,45.0,30.9,10.9,1.6,5.0,6.6,1.6,0.4,0.8,1.4,2.2,4.0,8.3,0.487,1.5,3.8,0.383,2.6,4.5,0.575,1.4,1.8,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,115.0,122.0,11.3,6.1,19.5,12.7,7.1,0.6,2.3,13.6,14.6,0.7,0.9,1.6,0.053,-1.6,-0.7,-2.3,-0.1,15,0.163,2024
Moritz Wagner,C,26.0,ORL,78.0,1.0,17.7,10.8,1.5,2.9,4.4,1.2,0.5,0.3,1.2,2.0,4.1,6.9,0.594,0.5,1.5,0.325,3.6,5.4,0.666,2.1,2.6,0.812,0.43,0.435,0.025,0.051,88.0,76.0,137.0,79.0,96.0,75.0,10.0,13.0,1.2,126.0,114.0,20.2,10.3,20.4,15.3,11.1,1.4,1.3,13.0,23.0,3.1,2.1,5.1,0.178,1.5,0.2,1.7,1.3,6,0.575,2024
Javonte Green,SF,30.0,CHI,7.0,3.0,23.9,10.7,2.0,5.4,7.4,0.6,0.9,1.1,0.9,1.9,4.3,6.6,0.652,0.9,2.0,0.429,3.4,4.6,0.75,1.3,1.7,0.75,0.49,0.503,0.26,0.28,97.0,102.0,59.0,90.0,69.0,87.0,106.0,71.0,11.3,138.0,113.0,20.4,9.9,28.2,18.8,3.5,1.8,4.9,10.5,15.2,0.4,0.3,0.6,0.187,2.2,1.0,3.2,0.2,9,0.475,2024
Santi Aldama,PF,23.0,MEM,61.0,35.0,26.5,10.7,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,4.0,9.3,0.435,1.7,5.0,0.349,2.3,4.3,0.534,0.9,1.4,0.621,0.528,0.539,0.153,0.535,92.0,98.0,95.0,97.0,79.0,93.0,63.0,135.0,-2.9,110.0,116.0,13.2,5.1,21.5,12.9,13.3,1.3,3.1,10.2,18.1,0.2,2.0,2.2,0.066,-0.7,0.5,-0.3,0.7,13,0.338,2024
Jaden McDaniels,SF,23.0,MIN,70.0,69.0,29.3,10.6,0.8,2.4,3.2,1.4,0.9,0.6,1.2,3.1,4.3,8.8,0.49,1.2,3.5,0.332,3.1,5.2,0.597,0.8,1.1,0.727,0.419,0.447,0.405,0.27,80.0,75.0,82.0,77.0,68.0,77.0,166.0,68.0,-5.8,109.0,114.0,9.6,3.6,9.5,6.7,6.8,1.6,1.8,11.5,15.9,0.2,3.0,3.2,0.075,-3.3,0.8,-2.5,-0.2,2,0.688,2024
Spencer Dinwiddie,PG,30.0,BRK,74.0,52.0,28.6,10.6,0.4,2.3,2.7,4.8,0.7,0.3,1.2,1.8,3.4,8.6,0.392,1.7,4.9,0.337,1.7,3.6,0.467,2.2,2.8,0.8,0.572,0.615,0.226,0.607,95.0,95.0,111.0,105.0,118.0,106.0,92.0,154.0,3.7,118.0,121.0,11.8,1.6,9.8,5.6,22.9,1.2,0.9,10.9,16.8,2.0,1.4,3.4,0.078,-1.3,-0.6,-1.9,0.1,11,0.4,2024
Simone Fontecchio,SF,28.0,UTA,66.0,43.0,24.9,10.5,1.0,2.8,3.7,1.5,0.7,0.3,1.0,1.7,3.8,8.3,0.46,2.0,5.1,0.401,1.8,3.2,0.551,0.8,1.0,0.818,0.619,0.653,0.321,0.007,130.0,114.0,0.0,113.0,101.0,113.0,131.0,2.0,7.0,118.0,124.0,12.1,4.7,13.1,8.9,8.7,1.3,1.2,10.5,16.7,1.4,0.6,2.0,0.058,0.0,-1.0,-1.0,0.4,12,0.375,2024
Alec Burks,SG,32.0,DET,65.0,1.0,18.5,10.5,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.2,3.2,8.7,0.37,1.9,5.0,0.375,1.3,3.6,0.363,2.2,2.5,0.867,0.545,0.585,0.727,0.091,115.0,110.0,0.0,100.0,80.0,101.0,297.0,23.0,-5.2,113.0,122.0,12.9,2.4,12.6,7.5,10.4,1.1,0.9,6.9,24.6,0.6,0.7,1.3,0.051,-0.3,-2.1,-2.4,-0.1,15,0.163,2024
Obi Toppin,PF,25.0,IND,80.0,28.0,21.3,10.3,1.0,2.9,4.0,1.5,0.6,0.5,0.8,1.8,4.1,7.1,0.577,1.3,3.1,0.409,2.8,4.0,0.708,0.9,1.2,0.76,0.549,0.607,0.356,0.313,103.0,97.0,108.0,100.0,110.0,105.0,146.0,79.0,1.9,130.0,120.0,16.3,5.9,16.6,11.2,8.9,1.2,2.0,9.8,16.7,3.3,1.2,4.5,0.128,1.8,-0.4,1.4,1.5,5,0.575,2024
